format_raw,Format,Metric,Year,count,Revenue [m$],Units [m]
CD,CD,Units,1973,1,0,
CD,CD,Units,1974,1,0,
CD,CD,Units,1975,1,0,
CD,CD,Units,1976,1,0,
CD,CD,Units,1977,1,0,
CD,CD,Units,1978,1,0,
CD,CD,Units,1979,1,0,
CD,CD,Units,1980,1,0,
CD,CD,Units,1981,1,0,
CD,CD,Units,1982,1,0,
CD,CD,Units,1983,1,0,0.8
CD,CD,Units,1984,1,0,5.8
CD,CD,Units,1985,1,0,22.6
CD,CD,Units,1986,1,0,53.0
CD,CD,Units,1987,1,0,102.1
CD,CD,Units,1988,1,0,149.7
CD,CD,Units,1989,1,0,207.2
CD,CD,Units,1990,1,0,286.5
CD,CD,Units,1991,1,0,333.3
CD,CD,Units,1992,1,0,407.5
CD,CD,Units,1993,1,0,495.4
CD,CD,Units,1994,1,0,662.1
CD,CD,Units,1995,1,0,722.9
CD,CD,Units,1996,1,0,778.9
CD,CD,Units,1997,1,0,753.1
CD,CD,Units,1998,1,0,847
CD,CD,Units,1999,1,0,938.9
CD,CD,Units,2000,1,0,942.5
CD,CD,Units,2001,1,0,881.9
CD,CD,Units,2002,1,0,803.3
CD,CD,Units,2003,1,0,746
CD,CD,Units,2004,1,0,767
CD,CD,Units,2005,1,0,705.4
CD,CD,Units,2006,1,0,619.7
CD,CD,Units,2007,1,0,499.7
CD,CD,Units,2008,1,0,368.4
CD,CD,Units,2009,1,0,296.6
CD,CD,Units,2010,1,0,253
CD,CD,Units,2011,1,0,240.8
CD,CD,Units,2012,1,0,198.1643872
CD,CD,Units,2013,1,0,173.7933029
CD,CD,Units,2014,1,0,138.7023634
CD,CD,Units,2015,1,0,117.1440518
CD,CD,Units,2016,1,0,97.5770712
CD,CD,Units,2017,1,0,87.68249997
CD,CD,Units,2018,1,0,51.95427564
CD,CD,Units,2019,1,0,46.50649558
CD Single,CD,Units,1973,1,0,
CD Single,CD,Units,1974,1,0,
CD Single,CD,Units,1975,1,0,
CD Single,CD,Units,1976,1,0,
CD Single,CD,Units,1977,1,0,
CD Single,CD,Units,1978,1,0,
CD Single,CD,Units,1979,1,0,
CD Single,CD,Units,1980,1,0,
CD Single,CD,Units,1981,1,0,
CD Single,CD,Units,1982,1,0,
CD Single,CD,Units,1983,1,0,
CD Single,CD,Units,1984,1,0,
CD Single,CD,Units,1985,1,0,
CD Single,CD,Units,1986,1,0,
CD Single,CD,Units,1987,1,0,
CD Single,CD,Units,1988,1,0,1.6
CD Single,CD,Units,1989,1,0,-0.1
CD Single,CD,Units,1990,1,0,1.1
CD Single,CD,Units,1991,1,0,5.7
CD Single,CD,Units,1992,1,0,7.3
CD Single,CD,Units,1993,1,0,7.8
CD Single,CD,Units,1994,1,0,9.3
CD Single,CD,Units,1995,1,0,21.5
CD Single,CD,Units,1996,1,0,43.2
CD Single,CD,Units,1997,1,0,66.7
CD Single,CD,Units,1998,1,0,56
CD Single,CD,Units,1999,1,0,55.9
CD Single,CD,Units,2000,1,0,34.2
CD Single,CD,Units,2001,1,0,17.3
CD Single,CD,Units,2002,1,0,4.5
CD Single,CD,Units,2003,1,0,8.3
CD Single,CD,Units,2004,1,0,3.1
CD Single,CD,Units,2005,1,0,2.8
CD Single,CD,Units,2006,1,0,1.7
CD Single,CD,Units,2007,1,0,2.6
CD Single,CD,Units,2008,1,0,0.7
CD Single,CD,Units,2009,1,0,0.9
CD Single,CD,Units,2010,1,0,1
CD Single,CD,Units,2011,1,0,1.3
CD Single,CD,Units,2012,1,0,1.072870407
CD Single,CD,Units,2013,1,0,0.628895398
CD Single,CD,Units,2014,1,0,0.928725116
CD Single,CD,Units,2015,1,0,0.386721563
CD Single,CD,Units,2016,1,0,0.121745255
CD Single,CD,Units,2017,1,0,0.13261663
CD Single,CD,Units,2018,1,0,0.020854078
CD Single,CD,Units,2019,1,0,0.026257455
Cassette,Cassette,Units,1973,1,0,15
Cassette,Cassette,Units,1974,1,0,15.3
Cassette,Cassette,Units,1975,1,0,16.2
Cassette,Cassette,Units,1976,1,0,21.8
Cassette,Cassette,Units,1977,1,0,36.9
Cassette,Cassette,Units,1978,1,0,61.3
Cassette,Cassette,Units,1979,1,0,78.5
Cassette,Cassette,Units,1980,1,0,99
Cassette,Cassette,Units,1981,1,0,124
Cassette,Cassette,Units,1982,1,0,183.2
