Day;Month;DayNum;YearNum;Users;Volume;Transactions
Wed;Mar;30;2022;17779;41249086;28572
Tue;Mar;29;2022;28018;63698330;47809
Mon;Mar;28;2022;28798;57053492;49562
Sun;Mar;27;2022;33314;94837733.52;61724
Sat;Mar;26;2022;33846;67999575.3;60974
Fri;Mar;25;2022;33987;67456037;61693
Thu;Mar;24;2022;33250;79879079;58816
Wed;Mar;23;2022;34300;64071217;61653
Tue;Mar;22;2022;34022;53815013;64128
Mon;Mar;21;2022;34244;60624779.22;64075
Sun;Mar;20;2022;35748;76886690;69430
Sat;Mar;19;2022;32205;99812993;59596
Fri;Mar;18;2022;29823;99758041.25;52349
Thu;Mar;17;2022;29604;115594755;52067
Wed;Mar;16;2022;31595;67082902;57356
Tue;Mar;15;2022;35055;53079464.27;65587
Mon;Mar;14;2022;32502;43154890;59544
Sun;Mar;13;2022;34478;59105232;65221
Sat;Mar;12;2022;36562;59126140;70047
Fri;Mar;11;2022;36502;64887038;68801
Thu;Mar;10;2022;34541;51331754.78;64665
Wed;Mar;9;2022;34910;46007415.28;63884
Tue;Mar;8;2022;34995;49800263;64765
Mon;Mar;7;2022;35371;45231613;63591
Sun;Mar;6;2022;35540;43071726;65159
Sat;Mar;5;2022;34962;52125640;63855
Fri;Mar;4;2022;37770;64084414.66;68530
Thu;Mar;3;2022;41103;62195942;78494
Wed;Mar;2;2022;39198;60581047.72;71173
Tue;Mar;1;2022;39938;54897526;70681
Mon;Feb;28;2022;37999;53731584;70195
Sun;Feb;27;2022;40879;77045015.78;77164
Sat;Feb;26;2022;43566;69936306.57;84679
Fri;Feb;25;2022;45633;95970968;89527
Thu;Feb;24;2022;38825;90008181;67084
Wed;Feb;23;2022;49795;98080977;92876
Tue;Feb;22;2022;47036;86783515;86886
Mon;Feb;21;2022;54322;104783557.04;118472
Sun;Feb;20;2022;43644;71919375;85938
Sat;Feb;19;2022;45096;72284697;86893
Fri;Feb;18;2022;43007;85126339;78452
Thu;Feb;17;2022;45402;87780391;85417
Wed;Feb;16;2022;43860;97175310;79754
Tue;Feb;15;2022;41690;88751351;76086
Mon;Feb;14;2022;39417;82724872.23;75121
Sun;Feb;13;2022;42822;192014341;79774
Sat;Feb;12;2022;40051;205427778.78;72908
Fri;Feb;11;2022;43390;114451624;77140
Thu;Feb;10;2022;42285;111024501;72864
Wed;Feb;9;2022;43358;96729624;74437
Tue;Feb;8;2022;44135;101536129.22;79525
Mon;Feb;7;2022;46952;138670484.94;87020
Sun;Feb;6;2022;44057;107802145;79960
Sat;Feb;5;2022;44816;107350632;79419
Fri;Feb;4;2022;49460;134288199.51;89379
Thu;Feb;3;2022;52953;135203777.16;98275
Wed;Feb;2;2022;55850;159429426.1;103479
Tue;Feb;1;2022;55293;216654166.66;105047
Mon;Jan;31;2022;52253;201092382.36;97179
Sun;Jan;30;2022;54645;191764918.42;107481
Sat;Jan;29;2022;52175;158967649.94;102200
Fri;Jan;28;2022;49775;130725394.18;91354
Thu;Jan;27;2022;54949;207352802;110339
Wed;Jan;26;2022;49948;193276242;95234
Tue;Jan;25;2022;49549;161666668;95321
Mon;Jan;24;2022;42208;94183010;76094
Sun;Jan;23;2022;43302;100618341;82412
Sat;Jan;22;2022;38433;87166260;66515
Fri;Jan;21;2022;42306;153846283.16;76103
Thu;Jan;20;2022;42869;154712645;74950
Wed;Jan;19;2022;47808;140413810.47;85527
Tue;Jan;18;2022;51954;109522719;99646
Mon;Jan;17;2022;50056;120867717;97759
Sun;Jan;16;2022;53519;154385243;109411
Sat;Jan;15;2022;53344;157332452.54;108237
Fri;Jan;14;2022;45984;134615478;83834
Thu;Jan;13;2022;48976;139497110;91924
Wed;Jan;12;2022;42173;127524950.78;74136
Tue;Jan;11;2022;42791;106469014.39;80871
Mon;Jan;10;2022;39598;108801597.89;73311
Sun;Jan;9;2022;58877;184454942;137534
Sat;Jan;8;2022;50581;140631689;105282
Fri;Jan;7;2022;42013;127842415;80453
Thu;Jan;6;2022;41192;117396393;78231
Wed;Jan;5;2022;42381;141861863.41;82347
Tue;Jan;4;2022;43366;161440910;85749
Mon;Jan;3;2022;44265;175994973;92503
Sun;Jan;2;2022;44168;180989322;99075
Sat;Jan;1;2022;36042;125709789;74819
