Group,Group number,Answer,Vote percentage [%],Vote count,GroupVote count,GroupVote percentage [%],Answer percentage [%],,,,,,,
"Data Analytics, Data Science, Business Analytics...",Group 1,Twice or more per month,39,27,70,39.0,3.8,,,,,,,70
"Data Scientist, Data Analyst and Data Engineer",Group 2,Twice or more per month,47,66,141,47.0,9.3,,,,,,,141
"Artificial Intelligence, Digital Transformation...",Group 3,Twice or more per month,55,6,11,55.0,0.8,,,,,,,11
Python Developers Community (moderated),Group 4,Twice or more per month,44,191,433,44.0,27,,,,,,,433
"AI & ML  - Analytics , Data Science...",Group 5,Twice or more per month,56,29,52,56.0,4.1,,,,,,,52
"Data Analytics, Data Science, Business Analytics...",Group 1,Around once per month,31,22,70,31.0,3.1,,,,,,,
"Data Scientist, Data Analyst and Data Engineer",Group 2,Around once per month,20,28,141,20.0,4,,,,,,,
"Artificial Intelligence, Digital Transformation...",Group 3,Around once per month,18,2,11,18.0,0.3,,,,,,,
Python Developers Community (moderated),Group 4,Around once per month,24,104,433,24.0,14.7,,,,,,,
"AI & ML  - Analytics , Data Science...",Group 5,Around once per month,12,6,52,12.0,0.8,,,,,,,
"Data Analytics, Data Science, Business Analytics...",Group 1,1-2 times in a quarter,14,10,70,14.0,1.4,,,,,,,
"Data Scientist, Data Analyst and Data Engineer",Group 2,1-2 times in a quarter,16,23,141,16.0,3.3,,,,,,,
"Artificial Intelligence, Digital Transformation...",Group 3,1-2 times in a quarter,18,2,11,18.0,0.3,,,,,,,
Python Developers Community (moderated),Group 4,1-2 times in a quarter,13,56,433,13.0,7.9,,,,,,,
"AI & ML  - Analytics , Data Science...",Group 5,1-2 times in a quarter,17,9,52,17.0,1.3,,,,,,,
"Data Analytics, Data Science, Business Analytics...",Group 1,Never,16,11,70,16.0,1.6,,,,,,,
"Data Scientist, Data Analyst and Data Engineer",Group 2,Never,17,24,141,17.0,3.4,,,,,,,
"Artificial Intelligence, Digital Transformation...",Group 3,Never,9,1,11,9.0,0.1,,,,,,,
Python Developers Community (moderated),Group 4,Never,19,82,433,19.0,11.6,,,,,,,
"AI & ML  - Analytics , Data Science...",Group 5,Never,15,8,52,15.0,1.1,,,,,,,
