Country,Age,Count,Education level,Gender,Industry,Org,Org size,Role group,Role group Avg,Role,Problems,Prob_RoleGroup [%],Prob_RoleGroup Avg [%],Hope,Hope_RoleGroup [%],,,,,,
United States,26-41,1,Doctoral degree,Male,,Educational institution,,Data science,Data science,Data Scientist,A reduction in job opportunities caused by automation,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,42-57,1,Doctoral degree,Male,Manufacturing,Commercial (for-profit) entity,"5,001-10,000",Business professional,Others avg.,Product Manager,Social impacts from bias in data and models,0.3,0.03877471888,More specialized data science hardware,0.2976,,,Business prof ,336,0.2976190476,
India,18-25,1,Bachelor's degree,Female,,Educational institution,,Data science,Data science,Data Scientist,A reduction in job opportunities caused by automation,0.2,0.2,Further innovation in the open-source data science community,0.1678,,Overall,3493,,,
United States,42-57,1,Bachelor's degree,Male,Retail,Commercial (for-profit) entity,"201-1,000",Education,Others avg.,Professor/Instructor/Researcher,Social impacts from bias in data and models,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
Singapore,18-25,1,High School or equivalent,Male,,,,Education,Others avg.,Student,Social impacts from bias in data and models,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,26-41,1,Master's degree,Male,,Educational institution,,Other,Others avg.,Developer,Advanced information warfare,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,Other,290,0.3448275862,,
United States,42-57,1,Master's degree,Male,Media,Commercial (for-profit) entity,"5,001-10,000",Data science,Data science,Data Scientist,Other (please indicate below),0.2,0.2,Further innovation in vendor-specific data science products,0.1678,,DS group,915,,,
India,18-25,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,A reduction in job opportunities caused by automation,0.2,0.03877471888,More resources given to data science teams within organizations,0.1931,,DS group válaszadó,596,,,
United States,26-41,1,Bachelor's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Other (please indicate below),0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,Education,518,0.1930501931,,0.03877471888
Vietnam,26-41,1,Doctoral degree,Female,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Lack of diversity and inclusion in the profession,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
