Count,Position,Team,Age,Passes,Number of passes,Passes pct,Goals
0.5,MF,Australia,32,Completed,170,39.15,0
0.5,MF,Wales,31,Completed,88,39.3,0
0.5,MF,Morocco,26,Completed,36,37.5,0
0.5,DF,Qatar,29,Completed,122,37.9,0
0.5,FW,Morocco,31,Completed,6,33.35,0
0.5,FW,Morocco,20,Completed,6,33.35,0
0.5,DF,Senegal,26,Completed,139,37.35,0
0.5,FW,Ghana,18,Completed,1,50,0
0.5,MF,Qatar,32,Completed,72,39.55,0
0.5,DF,Saudi Arabia,25,Completed,74,35.6,0
0.5,MF,Saudi Arabia,28,Completed,66,39.3,0
0.5,DF,Saudi Arabia,29,Completed,5,19.25,0
0.5,MF,Saudi Arabia,27,Completed,8,30.75,0
0.5,DF,IR Iran,24,Completed,20,34.5,0
0.5,DF,Morocco,24,Completed,164,40.4,0
0.5,MF,France,27,Completed,163,43.35,0.5
0.5,MF,Uruguay,24,Completed,5,35.7,0
0.5,MF,IR Iran,29,Completed,35,32.4,0
0.5,FW,Qatar,29,Completed,0,0,0
0.5,GK,Tunisia,25,Completed,48,31.15,0
0.5,MF,Australia,26,Completed,17,40.5,0
0.5,FW,Qatar,26,Completed,139,42.1,0
0.5,MF,Ecuador,24,Completed,10,45.45,0
0.5,DF,Spain,19,Completed,112,45.55,0
0.5,FW,Serbia,28,Completed,54,39.15,1
0.5,DF,Brazil,31,Completed,146,44.5,0
0.5,DF,Brazil,29,Completed,33,39.3,0
0.5,DF,Denmark,24,Completed,37,34.9,0
0.5,DF,Ghana,28,Completed,22,39.3,0
0.5,MF,Argentina,23,Completed,122,45.85,0.5
0.5,FW,Mexico,25,Completed,40,35.7,0
0.5,DF,Tunisia,28,Completed,72,31.05,0
0.5,MF,Saudi Arabia,25,Completed,4,28.55,0
0.5,DF,Saudi Arabia,33,Completed,78,40.2,0
0.5,MF,Qatar,29,Completed,21,45.65,0
0.5,MF,IR Iran,26,Completed,46,31.95,0
0.5,MF,IR Iran,28,Completed,34,37.8,0
0.5,DF,Tunisia,32,Completed,39,30.95,0
0.5,DF,Ghana,22,Completed,59,37.8,0
